video_id,distance,num_of_points,normalized_distance,Fearful,Surprised,Happy,Neutral,Disgusted,Sad
253,224.5,291.0,0.7714776632302406,86.19,2.61,0.23,7.61,0.0,3.3
254,92.0,164.0,0.5609756097560976,0.0,0.0,0.0,0.0,0.0,0.0
255,96.0,30.0,3.2,0.0,0.0,7.13,82.45,0.0,0.0
256,60.5,71.0,0.852112676056338,12.55,1.52,1.1,42.63,0.0,41.79
257,152.0,86.0,1.7674418604651163,8.96,2.89,1.79,73.61,0.0,4.98
258,112.5,190.0,0.5921052631578947,46.6,0.0,0.06,3.21,0.0,50.13
259,150.5,268.0,0.5615671641791045,69.84,0.0,0.0,0.0,0.0,27.92
260,121.0,100.0,1.21,88.95,0.0,0.18,0.0,0.0,4.05
261,62.5,133.0,0.4699248120300752,72.83,23.16,0.0,0.9,0.0,0.0
262,65.5,84.0,0.7797619047619048,42.32,54.04,0.0,0.4,0.0,0.0
263,77.0,189.0,0.4074074074074074,75.78,22.72,0.0,0.0,0.0,0.0
264,91.5,146.0,0.6267123287671232,0.96,76.02,19.01,1.28,0.06,0.0
265,224.5,308.0,0.7288961038961039,6.35,84.35,2.0,0.17,1.89,0.06
266,301.5,155.0,1.9451612903225808,0.0,0.0,0.0,0.0,0.0,0.0
267,75.5,134.0,0.5634328358208955,6.56,20.81,33.35,10.78,0.0,3.82
268,65.0,124.0,0.5241935483870968,21.83,2.44,11.89,11.61,0.0,0.61
269,66.5,147.0,0.4523809523809524,13.06,7.26,6.15,1.76,0.0,5.62
270,55.5,1.0,55.5,41.46,0.0,7.32,29.27,0.0,2.44
271,133.5,18.0,7.416666666666668,30.72,2.39,36.52,24.23,0.0,6.14
272,67.5,3.0,22.5,33.33,0.0,0.0,25.64,0.0,0.0
273,70.0,112.0,0.625,22.38,14.1,10.19,13.49,0.0,21.69
274,56.5,45.0,1.2555555555555555,23.46,7.14,34.85,8.73,0.0,22.17
275,87.0,220.0,0.3954545454545455,61.34,22.35,3.25,12.27,0.0,0.22
